id,timestamp,open,high,low,close,volume,current_price,conditions,date
830.0,1990-11-30,322.22,323.02,315.42,322.22,,,,
790.0,1990-12-03,324.1,324.9,322.22,324.1,,,,
750.0,1990-12-04,326.35,326.77,321.97,326.35,,,,
710.0,1990-12-05,329.92,329.92,325.66,329.92,,,,
670.0,1990-12-06,329.07,333.98,328.37,329.07,,,,
630.0,1990-12-07,327.75,329.39,326.39,327.75,,,,
590.0,1990-12-10,328.89,328.97,326.15,328.89,,,,
550.0,1990-12-11,326.44,328.89,325.65,326.44,,,,
510.0,1990-12-12,330.19,330.36,326.44,330.19,,,,
470.0,1990-12-13,329.34,330.58,328.77,329.34,,,,
430.0,1990-12-14,326.82,329.34,325.16,326.82,,,,
390.0,1990-12-17,326.02,326.82,324.46,326.02,,,,
350.0,1990-12-18,330.05,330.43,325.75,330.05,,,,
310.0,1990-12-19,330.2,330.8,329.39,330.2,,,,
270.0,1990-12-20,330.12,330.74,326.94,330.12,,,,
230.0,1990-12-21,331.75,332.47,330.12,331.75,,,,
190.0,1990-12-24,329.9,331.75,329.16,329.9,,,,
150.0,1990-12-26,330.85,331.69,329.89,330.85,,,,
110.0,1990-12-27,328.29,331.04,328.23,328.29,,,,
70.0,1990-12-28,328.72,328.72,327.24,328.72,,,,
30.0,1990-12-31,330.22,330.23,327.5,330.22,,,,
9878.0,1991-01-02,326.45,330.75,326.45,326.45,,,,
9857.0,1991-01-03,321.91,326.53,321.9,321.91,,,,
9824.0,1991-01-04,321.0,322.35,318.87,321.0,,,,
9787.0,1991-01-07,315.44,321.0,315.44,315.44,,,,
9749.0,1991-01-08,314.9,316.97,313.79,314.9,,,,
9711.0,1991-01-09,311.49,320.73,310.93,311.49,,,,
9672.0,1991-01-10,314.53,314.77,311.49,314.53,,,,
9633.0,1991-01-11,315.23,315.24,313.59,315.23,,,,
9594.0,1991-01-14,312.49,315.23,309.35,312.49,,,,
9555.0,1991-01-15,313.73,313.73,311.84,313.73,,,,
9516.0,1991-01-16,316.17,316.94,312.94,316.17,,,,
9477.0,1991-01-17,327.97,327.97,316.17,327.97,,,,
9438.0,1991-01-18,332.23,332.23,327.08,332.23,,,,
9399.0,1991-01-21,331.06,332.23,328.87,331.06,,,,
9360.0,1991-01-22,328.31,331.26,327.83,328.31,,,,
9321.0,1991-01-23,330.21,331.04,327.93,330.21,,,,
9282.0,1991-01-24,334.78,335.83,330.19,334.78,,,,
9243.0,1991-01-25,336.07,336.92,334.2,336.07,,,,
9204.0,1991-01-28,336.03,337.41,335.81,336.03,,,,
9165.0,1991-01-29,335.84,336.03,334.26,335.84,,,,
9126.0,1991-01-30,340.91,340.91,335.69,340.91,,,,
9087.0,1991-01-31,343.93,343.93,340.47,343.93,,,,
