date,value,Monthly_Percentage_Change,Annual_Percentage_Change,Rolling_3M_Average,Rolling_6M_Average,Rolling_12M_Average,MACD,RSI,Consumer_Sentiment_Rolling_6M_Avg,Consumer_Sentiment_Rolling_12M_Avg
2012-11-01,0.5274193548387098,0.5899080589010596,0.887902570927876,0.4915055653192736,0.399316345556246,0.3588385994876175,0.849000914254233,0.9689301081100622,0.4392473118279569,0.4240591397849462
2012-12-01,0.3693548387096774,0.2284554088910683,0.5701210165181315,0.4598711189220857,0.3983840894965818,0.3639624252775406,0.8130724657816214,0.6975216011647527,0.43844086021505374,0.4280913978494623
2013-01-01,0.3838709677419354,0.6235288264333052,0.496798699922278,0.408318687756298,0.4030453697949037,0.3619128949615715,0.7884814983384154,0.6720744616815881,0.4424731182795698,0.4264784946236559
2013-02-01,0.4451612903225805,0.7417215917832031,0.5547219727041104,0.3784417106033978,0.4133001864512118,0.3658411614005121,0.7910896416716995,0.6382846038303354,0.4513440860215053,0.4295698924731182
2013-03-01,0.461290322580645,0.625162061117066,0.5559061794305317,0.4118336262448742,0.4142324425108763,0.3699402220324508,0.7975636161656637,0.5704740210434971,0.4521505376344086,0.4327956989247311
2013-04-01,0.4258064516129034,0.5017410022195655,0.5167102381120611,0.4270650263620384,0.3949658172778121,0.3699402220324508,0.7870905513743459,0.5185638799443717,0.43548387096774194,0.4327956989247311
2013-05-01,0.5564516129032258,0.9063691595995116,0.5983149028242869,0.4674868189806679,0.4005593536357985,0.3788215200683176,0.8275189563122306,0.6328584712246774,0.4403225806451612,0.43978494623655906
2013-06-01,0.5499999999999998,0.5719597681678958,0.7020208308960735,0.4997070884592854,0.4353635798632691,0.3974380871050385,0.8545018954965152,0.6225172650685177,0.4704301075268817,0.45443548387096766
2013-07-01,0.5661290322580645,0.6221547936448695,0.7370315458828283,0.5506736965436437,0.4704785581106274,0.4192997438087102,0.8793502854996701,0.5956350625073873,0.5008064516129032,0.47163978494623654
2013-08-01,0.5177419354838708,0.4798118510411556,0.6473545835699245,0.536613942589338,0.4844623990055934,0.4326216908625107,0.8773655767556596,0.6594726710290557,0.5129032258064515,0.4821236559139785
2013-09-01,0.4435483870967742,0.4170796306506266,0.5039953350534513,0.4979496192149971,0.4810441267868239,0.4312553373185313,0.8444293792633099,0.5842908114926177,0.5099462365591397,0.4810483870967741
2013-10-01,0.3741935483870968,0.4187262796416987,0.3750876147888462,0.4282366725248977,0.4711000621504038,0.4152006831767718,0.7894845980525355,0.4797749727393655,0.5013440860215054,0.4684139784946236
2013-11-01,0.4048387096774193,0.6646242869958535,0.4023452968769102,0.387229056824839,0.4418893722809196,0.4022203245089666,0.7564829916827771,0.4439840054512969,0.47607526881720424,0.4581989247311828
2013-12-01,0.5241935483870968,0.8837671898247845,0.6805912108674772,0.4165202108963094,0.4369173399627095,0.4186165670367205,0.7752560611975685,0.4957289237936444,0.47177419354838707,0.4711021505376343
2014-01-01,0.5032258064516129,0.5386746861404254,0.6414946068488453,0.4633860574106622,0.4247980111870728,0.4312553373185313,0.7802707073537495,0.4744636601472376,0.4612903225806451,0.48104838709677417
2014-02-01,0.5096774193548386,0.6011263932282963,0.5808582348574963,0.5014645577035736,0.423244251087632,0.4380871050384283,0.7850217774381807,0.6605488664714175,0.45994623655913974,0.4864247311827956
2014-03-01,0.4838709677419355,0.5270493021386383,0.5388763906770232,0.4868189806678383,0.4310130515848351,0.4404782237403926,0.7770734194947351,0.6116484778254877,0.4666666666666666,0.4883064516129032
2014-04-01,0.5499999999999998,0.74099538815764,0.6421346851517611,0.503807850029291,0.4648850217526412,0.4536293766011954,0.7947164678378945,0.6163111397217085,0.49596774193548376,0.49865591397849457
2014-05-01,0.5145161290322582,0.5072679230762764,0.4784188185163245,0.5055653192735795,0.4860161591050342,0.4491887275832622,0.7930265480660623,0.5560090605718371,0.5142473118279569,0.4951612903225806
2014-06-01,0.5241935483870968,0.6083725774869155,0.4930342117270633,0.5202108963093145,0.4860161591050342,0.4464560204953032,0.7936232653320286,0.6100790569916332,0.514247311827957,0.493010752688172
2014-07-01,0.5129032258064516,0.5606337448104677,0.4684522504311826,0.5067369654364385,0.4878806712243628,0.4408198121263877,0.7879195005946187,0.4363364433931869,0.5158602150537633,0.48857526881720426
2014-08-01,0.5241935483870968,0.6120907810297345,0.5227734348811791,0.5102519039250147,0.4906774394033562,0.4415029888983774,0.7860516064681004,0.4614892321042663,0.5182795698924731,0.4891129032258064
2014-09-01,0.5580645161290321,0.6631093519373327,0.6307198519406577,0.5225541886350323,0.5049720323182099,0.4536293766011956,0.7959174561333255,0.4864536333490912,0.5306451612903226,0.49865591397849457
2014-10-01,0.5951612903225807,0.6683395532635907,0.7496235519782055,0.5524311657879323,0.5136730888750773,0.4770281810418446,0.8161078565046502,0.6034290357632884,0.5381720430107527,0.5170698924731182
2014-11-01,0.6258064516129032,0.6522688039862988,0.7437309381786624,0.5893380199179848,0.5351149782473585,0.5004269854824936,0.8416694464348018,0.7685791076744543,0.5567204301075269,0.5354838709677419
2014-12-01,0.7032258064516128,0.7494618664370943,0.6841481728897825,0.6420620972466317,0.569608452454941,0.5193851409052093,0.8891841631417206,0.9793997450916586,0.5865591397849462,0.5504032258064516
2015-01-01,0.7758064516129031,0.7314146930888594,0.7757196249711544,0.7076742823667254,0.6202610316967059,0.5482493595217759,0.9514913279002792,1.0,0.6303763440860214,0.5731182795698924
2015-02-01,0.7322580645161292,0.5031507043775743,0.7271722686106875,0.746338605741066,0.6603480422622745,0.5718189581554227,0.9798983588109442,0.8235647552078179,0.6650537634408601,0.5916666666666667
2015-03-01,0.6935483870967742,0.5102936386140493,0.7189367978520456,0.7428236672524898,0.6864512119328774,0.5940222032450897,0.9832875458436716,0.7851524026467079,0.6876344086021505,0.6091397849462366
2015-04-01,0.7403225806451614,0.680405062126372,0.6913209327014194,0.7299355594610429,0.7144188937228089,0.6141759180187873,1.0,0.8201068202754535,0.7118279569892474,0.625
2015-05-01,0.6564516129032258,0.4225328661012518,0.6504263065416178,0.7024018746338608,0.7203231821006837,0.6292058070025619,0.9765833997820106,0.7153990250417441,0.7169354838709677,0.6368279569892473
2015-06-01,0.7435483870967741,0.7660167156385627,0.7218594194613412,0.7205623901581727,0.7280919825978869,0.6524338172502133,0.9879190434324822,0.7336173934266189,0.7236559139784946,0.6551075268817204
2015-07-01,0.6951612903225806,0.4919955008961119,0.6886237325684705,0.7041593438781489,0.7125543816034801,0.6717335610589241,0.9741101743502414,0.713360606201478,0.710215053763441,0.6702956989247312
2015-08-01,0.6758064516129034,0.547334873439048,0.6585045252211226,0.7111892208553018,0.7016780609073958,0.6877882152006829,0.9519534558628062,0.6759008187700625,0.7008064516129032,0.6829301075268818
2015-09-01,0.6000000000000001,0.4318343477291266,0.5549563959825075,0.6590509666080845,0.6836544437538843,0.6922288642186167,0.9017410339466498,0.5905249284161507,0.6852150537634408,0.6864247311827957
2015-10-01,0.6451612903225807,0.6832049125092293,0.5611044904051619,0.6408904510837728,0.6653200745804846,0.697523484201537,0.8767652915495856,0.6208590244500735,0.6693548387096775,0.6905913978494623
2015-11-01,0.6661290322580644,0.6298657770062964,0.5517460246227999,0.6373755125951964,0.6671845866998136,0.701793339026473,0.8625174157737494,0.6096362736842763,0.6709677419354838,0.6939516129032258
2015-12-01,0.6870967741935483,0.6292447795305204,0.5034146063079858,0.6690099589923842,0.6563082660037289,0.7000853970964986,0.8568369326587144,0.595035245902244,0.6615591397849463,0.6926075268817206
